Area Type,Area,Year,Quarter,Ownership,NAICS,NAICS Title,Establishments,Month 1 Employment,Month 2 Employment,Month 3 Employment,Total Wage                                                                                                                       
County,St. Lawrence County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,220,6396,6430,6447,112802553
County,Ulster County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,528,8517,8524,8559,134187738
County,Unknown Locations,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,1379,3702,3706,3698,83457003
County,Wayne County,2023,2,"Total, All Ownerships",62,Health Care and Social Assistance,163,3039,3083,3064,41845434
County,Allegany County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,81,1978,1983,1996,29991465
County,Cattaraugus County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,175,3752,3756,3759,54595304
County,Clinton County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,214,5647,5644,5719,83124097
County,Delaware County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,119,1738,1713,1741,23994453
County,Dutchess County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,880,21054,20966,21127,398827476
County,Essex County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,106,1641,1657,1718,22451195
County,Fulton County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,159,2960,2972,2932,43498241
County,Hamilton County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,12,164,155,152,2510248
County,Livingston County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,148,2351,2350,2359,35347201
County,Madison County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,171,3153,3158,3121,47778751
County,New York County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,8620,273784,273981,275833,5748607205
County,Ontario County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,289,8092,8178,8150,122796009
County,Out of State Locations,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,11,31,35,32,859619
County,Putnam County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,247,4470,4449,4460,85842379
County,Rensselaer County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,328,8613,8519,8583,131580112
County,Schoharie County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,71,933,931,942,10898558
County,St. Lawrence County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,219,6440,6458,6487,115955389
County,Tioga County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,82,1087,1081,1087,13905208
County,Warren County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,266,5821,5842,5864,90393415
County,Wyoming County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,63,1207,1204,1252,17475295
County,Yates County,2023,3,"Total, All Ownerships",62,Health Care and Social Assistance,63,1224,1250,1237,15823557
County,Allegany County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,89,1735,1769,1781,20219059
County,Broome County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,450,15761,15946,15825,251252770
County,Chautauqua County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,301,6618,6647,6641,80958349
County,Columbia County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,187,3932,3935,3904,52442525
County,Franklin County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,127,4486,4485,4454,74705001
County,Genesee County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,120,3333,3302,3323,42354575
County,Greene County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,81,952,965,979,11756060
County,Hamilton County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,15,170,177,179,3086857
County,Herkimer County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,115,2120,2141,2131,24298907
County,Jefferson County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,287,6832,6859,6879,95701488
County,Lewis County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,44,968,968,957,13717051
County,Monroe County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,1833,69511,70081,70275,947239342
County,Montgomery County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,130,3860,3874,3889,49160845
County,Nassau County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,5996,141179,142113,142090,2617806413
County,Niagara County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,466,10670,10624,10587,117974893
County,Onondaga County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,1225,38363,38498,38438,559659618
County,Orleans County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,75,1228,1229,1246,13388439
County,Putnam County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,237,4168,4173,4183,61401619
County,Rockland County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,1216,30696,31303,31377,396392299
County,Saratoga County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,561,11326,11304,11432,167156535
County,Steuben County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,242,5902,5888,5894,71752419
County,Ulster County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,509,8296,8360,8416,121682451
County,Wayne County,2022,1,"Total, All Ownerships",62,Health Care and Social Assistance,165,3021,3000,3003,38794473
County,Albany County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,940,34593,34723,34811,582349503
County,Chautauqua County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,301,6634,6666,6698,88918838
County,Clinton County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,213,5399,5368,5391,83444822
County,Columbia County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,186,3927,3945,3985,58745004
County,Delaware County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,119,1608,1646,1580,22041139
County,Franklin County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,126,4422,4469,4508,80066275
County,Herkimer County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,122,2104,2135,2144,28321424
County,Jefferson County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,285,6972,6993,7038,111075786
County,Lewis County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,45,947,966,983,13575641
County,Monroe County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,1843,70615,70939,70311,1036212179
County,Montgomery County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,134,3924,3946,3934,54522490
County,Nassau County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,6013,143687,144343,144392,2926792055
County,Niagara County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,480,10523,10448,10514,122798650
County,Oneida County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,615,21619,21777,21828,315454719
County,Ontario County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,278,7532,7537,8179,108188547
County,Orleans County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,74,1284,1296,1313,15275374
County,Oswego County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,164,4126,4099,4159,54929920
County,Saratoga County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,566,11494,11478,11679,173972818
County,Warren County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,256,5810,5765,5782,93317272
County,Wayne County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,161,2923,2973,2965,44301273
County,Wyoming County,2022,2,"Total, All Ownerships",62,Health Care and Social Assistance,64,1258,1235,1244,19120478
County,Cattaraugus County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,185,3692,3703,3647,53215995
County,Chemung County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,213,5707,5771,5757,94209539
County,Delaware County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,122,1597,1553,1609,22060619
County,Dutchess County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,864,20629,20427,20606,370338548
County,Essex County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,104,1626,1635,1626,23814738
County,Franklin County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,127,4504,4462,4445,78428578
County,Herkimer County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,122,2107,2045,2040,27273163
County,Jefferson County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,293,6901,6920,7055,102026148
County,Monroe County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,1869,70979,71077,70967,1065335535
County,Montgomery County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,133,3983,4008,4025,59500616
County,Nassau County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,6185,145163,145071,145763,2894791610
County,New York County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,8500,261998,261514,262227,5320953326
County,Onondaga County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,1232,38858,38734,38311,636380375
County,Ontario County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,283,8190,8162,8109,122948040
County,Orange County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,1011,25177,24974,25279,427541480
County,Putnam County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,239,4199,4231,4264,71235527
County,Saratoga County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,565,11942,11941,11873,189522219
County,Schenectady County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,360,9659,9665,9467,144857876
County,Schoharie County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,70,988,966,960,11191315
County,Schuyler County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,42,655,634,664,9254379
County,Tioga County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,84,999,1019,1039,12864135
County,Ulster County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,524,8465,8430,8468,135399422
County,Warren County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,251,5719,5721,5771,91272303
County,Washington County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,99,1425,1414,1436,18641668
County,Wayne County,2022,3,"Total, All Ownerships",62,Health Care and Social Assistance,161,2974,2995,2916,41086933
County,Albany County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,941,35245,35355,35581,621136995
County,Broome County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,451,16331,16309,16349,285006072
County,Cattaraugus County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,179,3648,3640,3654,54260509
County,Erie County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,2530,75232,75414,75744,1253938495
County,Essex County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,103,1643,1626,1671,22285599
County,Franklin County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,124,4427,4401,4400,80462762
County,Fulton County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,161,2873,2867,2865,43617212
County,Genesee County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,127,3290,3288,3285,45978672
County,Herkimer County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,120,2068,2080,2090,28084100
County,Lewis County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,47,963,958,960,14557992
County,Montgomery County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,130,3992,3952,4025,62455658
County,New York County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,8448,268760,265717,266133,5537273568
County,Ontario County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,287,8128,8033,8163,120677747
County,Oswego County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,164,4150,4169,4117,56592369
County,Rensselaer County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,330,8540,8507,8603,138312057
County,Rockland County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,1237,31921,32799,32975,464700013
County,Saratoga County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,561,11625,11743,11773,191475386
County,Schoharie County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,70,979,1000,990,11650354
County,Schuyler County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,42,653,657,658,7912916
County,Steuben County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,243,5968,5978,6065,84036774
County,Sullivan County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,201,7289,7618,7399,90301505
County,Warren County,2022,4,"Total, All Ownerships",62,Health Care and Social Assistance,257,5746,5739,5805,98181343
County,Broome County,2021,1,"Total, All Ownerships",62,Health Care and Social Assistance,453,16474,16525,16431,227287398
County,Cayuga County,2021,1,"Total, All Ownerships",62,Health Care and Social Assistance,174,3767,3819,3791,44916703
County,Orleans County,2021,1,"Total, All Ownerships",62,Health Care and Social Assistance,77,1284,1280,1288,11714147
County,Washington County,2021,1,"Total, All Ownerships",62,Health Care and Social Assistance,110,1654,1632,1652,16166920
County,Broome County,2021,2,"Total, All Ownerships",62,Health Care and Social Assistance,446,16369,16238,16157,252658913
County,Ulster County,2021,2,"Total, All Ownerships",62,Health Care and Social Assistance,504,8538,8521,8479,113464170
County,Jefferson County,2021,3,"Total, All Ownerships",62,Health Care and Social Assistance,289,6872,6838,6930,101435562
County,Ulster County,2021,3,"Total, All Ownerships",62,Health Care and Social Assistance,512,8336,8296,8366,117222650
County,Delaware County,2020,1,"Total, All Ownerships",62,Health Care and Social Assistance,122,1872,1875,1863,19254646
County,Ulster County,2020,1,"Total, All Ownerships",62,Health Care and Social Assistance,534,9961,9921,9784,110172366
County,Washington County,2020,1,"Total, All Ownerships",62,Health Care and Social Assistance,111,1827,1821,1810,17422030
County,Chemung County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,218,5699,5510,5815,75635465
County,Delaware County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,123,1783,1859,1868,19413724
County,Jefferson County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,294,6835,6673,6998,84454451
County,Orleans County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,76,1232,1228,1240,11813310
County,Seneca County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,71,791,826,841,7846021
County,Ulster County,2020,2,"Total, All Ownerships",62,Health Care and Social Assistance,529,8716,8742,8973,104312799
County,Cayuga County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,181,3818,3853,3910,46761237
County,Delaware County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,122,1907,1882,1928,18862432
County,Greene County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,92,1059,1073,1082,11284440
County,Jefferson County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,292,6963,6999,7137,97941604
County,Seneca County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,71,864,867,901,8389595
County,Washington County,2020,3,"Total, All Ownerships",62,Health Care and Social Assistance,111,1677,1652,1670,16867845
County,Broome County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,456,16679,16774,16807,271232475
County,Chemung County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,215,6071,6019,6081,87762994
County,Greene County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,91,1082,1064,1053,11717922
County,Orleans County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,78,1307,1317,1321,13868319
County,Seneca County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,68,871,891,876,9204441
County,Ulster County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,527,9169,9074,9132,126184581
County,Washington County,2020,4,"Total, All Ownerships",62,Health Care and Social Assistance,111,1669,1692,1675,18548052
County,Chemung County,2019,1,"Total, All Ownerships",62,Health Care and Social Assistance,219,6693,6619,6628,80390370
County,Jefferson County,2019,1,"Total, All Ownerships",62,Health Care and Social Assistance,297,7519,7539,7613,95346064
County,Orleans County,2019,1,"Total, All Ownerships",62,Health Care and Social Assistance,72,1366,1363,1356,12997485
County,Ulster County,2019,1,"Total, All Ownerships",62,Health Care and Social Assistance,517,10174,10082,10150,109181723
County,Chenango County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,117,2218,2214,2237,21335926
County,Delaware County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,121,1932,1929,1949,19165417
County,Greene County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,91,1215,1214,1194,11689842
County,Jefferson County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,295,7593,7619,7599,91901322
County,Seneca County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,71,947,940,942,8693893
County,Washington County,2019,2,"Total, All Ownerships",62,Health Care and Social Assistance,112,1906,1912,1916,17670707
County,Broome County,2019,3,"Total, All Ownerships",62,Health Care and Social Assistance,467,16961,16981,17111,221950373
County,Cayuga County,2019,3,"Total, All Ownerships",62,Health Care and Social Assistance,182,4264,4229,4234,46650536
County,Greene County,2019,3,"Total, All Ownerships",62,Health Care and Social Assistance,92,1152,1129,1164,11470316
County,Seneca County,2019,3,"Total, All Ownerships",62,Health Care and Social Assistance,72,954,944,939,8879028
County,Washington County,2019,3,"Total, All Ownerships",62,Health Care and Social Assistance,109,1889,1866,1845,18171396
County,Cayuga County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,182,4290,4213,4222,49580687
County,Delaware County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,123,1935,1939,1943,20911133
County,Greene County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,91,1177,1141,1150,11779716
County,Orleans County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,73,1463,1457,1435,13124110
County,Seneca County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,71,951,888,916,8454822
County,Washington County,2019,4,"Total, All Ownerships",62,Health Care and Social Assistance,110,1860,1857,1850,17756017
County,Broome County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,466,16495,16516,16633,201535098
County,Chemung County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,223,6674,6658,6675,78845150
County,Greene County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,94,1269,1272,1262,11392913
County,Seneca County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,72,1028,1019,1032,9662606
County,Ulster County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,526,10406,10387,10496,109618796
County,Washington County,2018,1,"Total, All Ownerships",62,Health Care and Social Assistance,117,1961,1934,1921,17926243
County,Chemung County,2018,2,"Total, All Ownerships",62,Health Care and Social Assistance,224,6705,6718,6779,82257706
County,Jefferson County,2018,2,"Total, All Ownerships",62,Health Care and Social Assistance,300,7240,7292,7241,87074358
County,Ulster County,2018,2,"Total, All Ownerships",62,Health Care and Social Assistance,526,10454,10470,10501,112544412
County,Washington County,2018,2,"Total, All Ownerships",62,Health Care and Social Assistance,112,1919,1929,1935,17605635
County,Broome County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,475,16772,16770,16794,208316550
County,Chemung County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,224,6559,6597,6633,79005366
County,Delaware County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,122,1949,1961,2022,17991350
County,Greene County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,94,1218,1198,1210,11427818
County,Orleans County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,73,1465,1481,1472,13544718
County,Ulster County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,524,10431,10364,10267,114414564
County,Washington County,2018,3,"Total, All Ownerships",62,Health Care and Social Assistance,113,1927,1951,1936,18278324
County,Broome County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,469,16924,16963,17058,222634762
County,Chemung County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,221,6664,6712,6739,85092247
County,Delaware County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,121,1996,2020,2031,20066812
County,Greene County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,93,1216,1225,1215,11663614
County,Orleans County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,73,1458,1473,1460,13248325
County,Seneca County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,71,997,995,994,9155555
County,Washington County,2018,4,"Total, All Ownerships",62,Health Care and Social Assistance,113,1926,1930,1948,17778753
County,Jefferson County,2017,1,"Total, All Ownerships",62,Health Care and Social Assistance,299,7207,7178,7236,88221311
County,Orleans County,2017,1,"Total, All Ownerships",62,Health Care and Social Assistance,76,1444,1464,1447,12971300
County,Washington County,2017,1,"Total, All Ownerships",62,Health Care and Social Assistance,118,1995,1987,1998,18106044
County,Broome County,2017,2,"Total, All Ownerships",62,Health Care and Social Assistance,460,16713,16758,16825,197391130
County,Chenango County,2017,2,"Total, All Ownerships",62,Health Care and Social Assistance,125,2371,2354,2387,20645585
County,Jefferson County,2017,2,"Total, All Ownerships",62,Health Care and Social Assistance,301,7271,7291,7230,85097477
County,Ulster County,2017,2,"Total, All Ownerships",62,Health Care and Social Assistance,530,10429,10511,10574,106008678
County,Broome County,2017,3,"Total, All Ownerships",62,Health Care and Social Assistance,466,16381,16366,16427,195672514
County,Chenango County,2017,3,"Total, All Ownerships",62,Health Care and Social Assistance,126,2340,2287,2357,22262755
County,Delaware County,2017,3,"Total, All Ownerships",62,Health Care and Social Assistance,116,1916,1919,1962,17302817
County,Orleans County,2017,3,"Total, All Ownerships",62,Health Care and Social Assistance,76,1371,1437,1445,13172756
County,Ulster County,2017,3,"Total, All Ownerships",62,Health Care and Social Assistance,527,10450,10413,10286,107552032
County,Delaware County,2017,4,"Total, All Ownerships",62,Health Care and Social Assistance,118,1964,1986,1988,18864102
County,Orleans County,2017,4,"Total, All Ownerships",62,Health Care and Social Assistance,76,1427,1441,1438,13250429
County,Washington County,2017,4,"Total, All Ownerships",62,Health Care and Social Assistance,119,1956,1972,1963,18694837
County,Chemung County,2016,1,"Total, All Ownerships",62,Health Care and Social Assistance,238,6502,6492,6508,73263597
County,Chenango County,2016,1,"Total, All Ownerships",62,Health Care and Social Assistance,118,2396,2380,2378,21696067
County,Jefferson County,2016,1,"Total, All Ownerships",62,Health Care and Social Assistance,289,7104,7099,7107,83504894
County,Seneca County,2016,1,"Total, All Ownerships",62,Health Care and Social Assistance,72,1046,1063,1081,9290168
County,Washington County,2016,1,"Total, All Ownerships",62,Health Care and Social Assistance,107,1915,1906,1912,16648541
County,Jefferson County,2016,2,"Total, All Ownerships",62,Health Care and Social Assistance,291,7098,7116,7124,81562430
County,Tompkins County,2016,2,"Total, All Ownerships",62,Health Care and Social Assistance,290,6036,6032,5895,65811318
County,Chemung County,2016,3,"Total, All Ownerships",62,Health Care and Social Assistance,234,6403,6465,6516,75331599
County,Jefferson County,2016,3,"Total, All Ownerships",62,Health Care and Social Assistance,293,7052,7082,7141,89011957
County,Orleans County,2016,3,"Total, All Ownerships",62,Health Care and Social Assistance,75,1384,1361,1345,12194008
County,Broome County,2016,4,"Total, All Ownerships",62,Health Care and Social Assistance,451,16549,16572,16627,194827980
County,Chemung County,2016,4,"Total, All Ownerships",62,Health Care and Social Assistance,236,6495,6541,6547,81538217
County,Chenango County,2016,4,"Total, All Ownerships",62,Health Care and Social Assistance,121,2413,2394,2394,21764912
County,Jefferson County,2016,4,"Total, All Ownerships",62,Health Care and Social Assistance,295,7154,7181,7227,87711337
